# Time-averaged data for fix 2
# TimeStep v_step v_temp v_press v_vol v_dens v_poteng
700 700 447.301 27690 47872.8 8.4798 -3.79436
800 800 495.632 -13407.4 49415 8.21515 -3.78892
900 900 579.873 1038.65 49014.8 8.28223 -3.7835
1000 1000 666.25 9662.71 48874.3 8.30604 -3.77507
1100 1100 730.025 -2366.52 49543.8 8.1938 -3.7625
1200 1200 800.848 -2638.81 49770.2 8.15653 -3.74954
1300 1300 876.617 4800.25 49721.7 8.16448 -3.73752
1400 1400 950.073 949.566 50037.9 8.11289 -3.72736
1500 1500 995.605 -2042.71 50330.1 8.06579 -3.71698
1600 1600 1033.69 479.311 50337.6 8.06459 -3.71136
1700 1700 1022.33 790.938 50382.6 8.05738 -3.70769
1800 1800 1001.45 -1779.78 50442 8.04789 -3.70991
1900 1900 984.912 631.095 50266.9 8.07592 -3.71519
2000 2000 980.733 1632.29 50175.8 8.0906 -3.71886
2100 2100 975.205 -116.087 50268.7 8.07564 -3.71679
2200 2200 985.085 502.454 50330.3 8.06576 -3.71142
2300 2300 1033.24 -391.858 50381.6 8.05755 -3.71079
2400 2400 1012.27 146.893 50428 8.05012 -3.70716
2500 2500 997.646 -906.943 50426.8 8.05031 -3.70981
2600 2600 988.135 272.219 50339.7 8.06425 -3.71229
2700 2700 995.966 756.01 50270.9 8.07529 -3.71485
2800 2800 994.604 50.0639 50284.9 8.07303 -3.71505
2900 2900 988.784 -171.274 50319.2 8.06753 -3.71329
3000 3000 993.999 638.749 50356 8.06163 -3.71007
3100 3100 1010.8 -577.222 50399.3 8.05471 -3.70902
3200 3200 1020.99 -365.164 50400.1 8.05459 -3.71045
3300 3300 989.258 122.444 50378.7 8.05801 -3.70973
3400 3400 999.627 -761.777 50360.3 8.06095 -3.71319
3500 3500 977.558 1089.07 50337.7 8.06458 -3.71022
3600 3600 997.489 -106.483 50375.1 8.05859 -3.70964
3700 3700 1011.06 249.961 50403.1 8.05411 -3.70869
3800 3800 1020.89 -1207.92 50439.3 8.04832 -3.70936
3900 3900 989.259 804.9 50395.5 8.05532 -3.7075
4000 4000 1002.45 -191.275 50397.7 8.05497 -3.70977
4100 4100 987.674 380.115 50393.2 8.05569 -3.70794
4200 4200 996.799 313.24 50377.3 8.05822 -3.709
4300 4300 1000.73 -201.878 50387.9 8.05654 -3.70935
4400 4400 988.933 232.057 50381.4 8.05757 -3.70839
4500 4500 1002.14 724.795 50385.9 8.05685 -3.70892
4600 4600 1005.97 -616.236 50434.5 8.04909 -3.70803
4700 4700 1006.01 -605.161 50461.8 8.04474 -3.70668
4800 4800 1033.04 -676.261 50412 8.05269 -3.71074
4900 4900 987.132 1331.29 50354.5 8.06188 -3.7085
5000 5000 983.911 -925.701 50403.2 8.0541 -3.71028
5100 5100 1002.8 -964.946 50390.3 8.05616 -3.71132
5200 5200 1016.9 1426.14 50352.9 8.06213 -3.71011
5300 5300 1015.52 -1709.19 50472.4 8.04305 -3.70839
5400 5400 998.007 -688.85 50463 8.04455 -3.70648
5500 5500 1000.71 1832.51 50360.4 8.06093 -3.70757
5600 5600 1002.34 -217.535 50405.8 8.05368 -3.70968
5700 5700 999.159 -2095.38 50446.1 8.04724 -3.71029
5800 5800 1009.71 1772.83 50327.2 8.06626 -3.71054
5900 5900 998.651 1088.9 50374.2 8.05873 -3.70806
6000 6000 1010.06 -2786.82 50526.6 8.03442 -3.70812
6100 6100 995.875 681.503 50453.7 8.04603 -3.70436
6200 6200 1003.36 1877.38 50415 8.0522 -3.70398
6300 6300 1005.49 -1961.24 50519.5 8.03555 -3.70579
6400 6400 1003.98 -683.441 50406.4 8.05359 -3.70934
6500 6500 984.243 3300.45 50251.8 8.07836 -3.70974
6600 6600 989.556 -1330.79 50416.3 8.05199 -3.71106
6700 6700 993.283 -1985.77 50482.9 8.04138 -3.70899
6800 6800 1032.46 1306.48 50353.7 8.06201 -3.70915
